"END_DATE","HEAT_ED_VISIT_COUNT","MAX_DAILY_TEMP"
2022-05-01,0,65
2022-05-02,0,56
2022-05-03,2,59
2022-05-04,0,66
2022-05-05,0,71
2022-05-06,0,62
2022-05-07,1,51
2022-05-08,0,58
2022-05-09,0,68
2022-05-10,1,71
2022-05-11,1,74
2022-05-12,1,70
2022-05-13,0,65
2022-05-14,1,74
2022-05-15,0,78
2022-05-16,2,74
2022-05-17,0,78
2022-05-18,1,73
2022-05-19,0,67
2022-05-20,0,67
2022-05-21,28,91
2022-05-22,20,90
2022-05-23,1,72
2022-05-24,0,64
2022-05-25,0,69
2022-05-26,1,69
2022-05-27,2,77
2022-05-28,1,76
2022-05-29,1,77
2022-05-30,8,85
2022-05-31,31,92
2022-06-01,1,66
2022-06-02,1,84
2022-06-03,2,75
2022-06-04,1,80
2022-06-05,3,76
2022-06-06,1,81
2022-06-07,2,77
2022-06-08,2,84
2022-06-09,1,83
2022-06-10,3,79
2022-06-11,0,75
2022-06-12,3,73
2022-06-13,5,86
2022-06-14,0,81
2022-06-15,10,80
2022-06-16,0,71
2022-06-17,5,91
2022-06-18,1,76
2022-06-19,1,72
2022-06-20,1,78
2022-06-21,1,75
2022-06-22,1,67
2022-06-23,0,71
2022-06-24,3,82
2022-06-25,9,89
2022-06-26,18,90
2022-06-27,0,78
2022-06-28,1,79
2022-06-29,6,85
2022-06-30,5,85
2022-07-01,17,95
2022-07-02,12,90
2022-07-03,8,88
2022-07-04,2,86
2022-07-05,1,87
2022-07-06,6,84
2022-07-07,7,81
2022-07-08,2,84
2022-07-09,5,83
2022-07-10,1,81
2022-07-11,3,83
2022-07-12,5,93
2022-07-13,7,90
2022-07-14,8,90
2022-07-15,8,85
2022-07-16,1,83
2022-07-17,5,86
2022-07-18,8,91
2022-07-19,13,93
2022-07-20,21,99
2022-07-21,24,101
2022-07-22,19,94
2022-07-23,36,95
2022-07-24,32,97
2022-07-25,10,94
2022-07-26,5,85
2022-07-27,4,84
2022-07-28,7,92
2022-07-29,2,88
2022-07-30,2,88
